CountryCode,Country,AverageObesity,AvgAlcohol2000_2020,AverageSmokersAdults
AFG,AFGHANISTAN,3.04,0.0,27.94
ALB,ALBANIA,17.48,4.39524,26.83
AND,ANDORRA,25.44,11.35714,33.36
ARG,ARGENTINA,24.34,7.04286,27.9
ARM,ARMENIA,17.04,3.76667,27.84
AUS,AUSTRALIA,25.69,10.00952,17.29
AUT,AUSTRIA,18.36,12.02381,35.0
AZE,AZERBAIJAN,15.28,0.67143,25.73
BDI,BURUNDI,2.95,4.38571,15.79
BEL,BELGIUM,21.51,9.9381,26.97
BEN,BENIN,6.02,3.2619,10.1
BFA,BURKINA FASO,2.92,6.10952,19.44
BGD,BANGLADESH,2.05,0.00476,42.27
BGR,BULGARIA,23.46,10.60952,41.99
BHR,BAHRAIN,24.32,1.98095,17.43
BHS,BAHAMAS,27.55,9.6619,10.67
BIH,BOSNIA AND HERZEGOVINA,16.31,4.69048,39.14
BLR,BELARUS,23.0,11.99048,34.53
BLZ,BELIZE,17.99,6.05238,10.73
BRA,BRAZIL,17.75,6.87143,16.53
BRB,BARBADOS,19.94,8.69524,9.06
BWA,BOTSWANA,13.46,6.61905,23.89
CAN,CANADA,26.41,8.06667,18.14
CHE,SWITZERLAND,18.02,10.01429,26.57
CHL,CHILE,24.49,6.97143,35.37
CHN,CHINA,4.13,4.24286,26.06
CIV,COTE D'IVOIRE,6.49,2.32381,12.51
CMR,CAMEROON,7.01,4.85238,9.2
COG,CONGO,6.14,3.82381,13.36
COL,COLOMBIA,17.91,4.31905,10.81
COM,COMOROS,4.95,0.18095,26.49
CRI,COSTA RICA,19.44,3.69048,11.87
CUB,CUBA,22.03,4.42381,25.47
CYP,CYPRUS,19.45,8.63333,37.19
CZE,CZECHIA,25.14,13.15238,31.97
DEU,GERMANY,21.94,11.45714,26.96
DNK,DENMARK,18.25,10.24762,24.06
DOM,DOMINICAN REPUBLIC,20.41,5.72857,13.33
DZA,ALGERIA,20.27,0.44286,21.37
ECU,ECUADOR,15.52,3.48095,13.77
EGY,EGYPT,25.51,0.1619,24.3
ERI,ERITREA,2.69,0.92381,9.49
ESP,SPAIN,23.15,10.24762,30.94
EST,ESTONIA,21.17,14.57143,35.54
ETH,ETHIOPIA,2.47,1.02857,5.71
FIN,FINLAND,21.58,9.2381,26.49
FJI,FIJI,24.65,2.48571,26.34
FRA,FRANCE,20.04,12.47143,33.77
GEO,GEORGIA,18.24,6.23333,32.1
GHA,GHANA,7.05,2.03333,4.67
GMB,GAMBIA,6.12,2.31905,14.96
GNB,GUINEA-BISSAU,5.71,3.19048,12.0
GRC,GREECE,23.41,7.81905,40.96
GTM,GUATEMALA,14.81,1.98095,12.1
GUY,GUYANA,14.72,5.47619,17.97
HRV,CROATIA,22.92,11.16667,35.87
HTI,HAITI,14.44,3.12857,9.29
HUN,HUNGARY,24.44,11.80952,33.9
IDN,INDONESIA,4.38,0.1,36.6
IND,INDIA,2.49,2.17619,36.24
IRL,IRELAND,21.24,12.10952,25.9
IRQ,IRAQ,22.86,0.15238,19.67
ISL,ICELAND,19.74,7.08571,17.96
ISR,ISRAEL,23.77,2.5,24.86
ITA,ITALY,19.82,7.71429,24.21
JAM,JAMAICA,19.56,3.09048,12.13
JOR,JORDAN,27.65,0.41905,33.24
JPN,JAPAN,3.21,6.70952,24.61
KAZ,KAZAKHSTAN,16.95,4.51905,26.97
KEN,KENYA,4.03,1.97143,13.96
KGZ,KYRGYZSTAN,11.46,5.51429,28.59
KHM,CAMBODIA,2.19,2.2381,28.36
KIR,KIRIBATI,39.98,0.47143,50.29
KWT,KUWAIT,32.34,0.0,18.63
LBN,LEBANON,26.97,1.4,38.96
LBR,LIBERIA,6.37,3.09048,10.86
LKA,SRI LANKA,3.48,2.25238,24.24
LSO,LESOTHO,10.81,2.70952,26.56
LTU,LITHUANIA,25.43,12.5,35.33
LUX,LUXEMBOURG,20.61,11.97619,24.61
LVA,LATVIA,23.01,10.3,39.39
MAR,MOROCCO,19.78,0.4619,17.31
MDG,MADAGASCAR,2.99,0.71905,34.1
MDV,MALDIVES,4.7,1.34286,29.66
MEX,MEXICO,23.72,4.54762,16.77
MLI,MALI,4.91,2.23333,11.01
MLT,MALTA,27.77,7.32381,27.66
MMR,MYANMAR,3.51,1.06667,52.17
MNE,MONTENEGRO,21.04,9.61286,34.06
MNG,MONGOLIA,13.98,6.38571,31.11
MOZ,MOZAMBIQUE,4.4,1.00476,19.33
MRT,MAURITANIA,8.32,0.0,14.26
MUS,MAURITIUS,8.89,7.0381,22.13
MWI,MALAWI,3.33,1.8,15.16
MYS,MALAYSIA,10.68,0.55714,24.94
NAM,NAMIBIA,11.15,4.21429,18.66
NER,NIGER,3.34,0.1,8.23
NGA,NIGERIA,5.35,4.44286,5.54
NOR,NORWAY,21.08,6.24286,25.16
NPL,NEPAL,2.43,0.4619,41.57
NRU,NAURU,57.58,2.7381,53.83
NZL,NEW ZEALAND,27.1,9.1381,18.94
OMN,OMAN,18.88,0.48095,7.8
PAK,PAKISTAN,5.32,0.02857,26.03
PAN,PANAMA,18.0,5.64286,7.73
PER,PERU,15.52,5.12381,15.61
PHL,PHILIPPINES,4.28,4.7,27.13
PNG,PAPUA NEW GUINEA,15.12,1.23333,44.47
POL,POLAND,21.75,9.90476,29.43
PRT,PORTUGAL,18.82,11.0381,25.36
PRY,PARAGUAY,14.82,5.49524,17.21
QAT,QATAR,29.41,1.01905,12.44
ROU,ROMANIA,20.3,10.6,30.59
RWA,RWANDA,3.04,1.02857,17.49
SAU,SAUDI ARABIA,28.78,0.0,14.21
SEN,SENEGAL,5.41,0.31429,9.36
SGP,SINGAPORE,5.57,1.78571,16.51
SLB,SOLOMON ISLANDS,15.68,0.75714,38.91
SLE,SIERRA LEONE,5.41,0.21429,22.97
SLV,EL SALVADOR,18.35,2.65238,10.66
SRB,SERBIA,19.79,8.28,41.71
STP,SAO TOME AND PRINCIPE,7.49,5.3619,6.44
SVK,SLOVAKIA,18.87,10.38571,31.61
SVN,SLOVENIA,19.11,10.75238,23.16
SWE,SWEDEN,18.86,7.00952,30.74
SWZ,ESWATINI,11.02,7.05714,10.26
SYC,SEYCHELLES,10.97,10.08571,23.2
TCD,CHAD,3.46,0.5,10.21
TGO,TOGO,5.01,1.18095,9.33
THA,THAILAND,6.69,7.07619,25.43
TKM,TURKMENISTAN,13.08,2.70952,7.7
TON,TONGA,40.19,0.80952,31.89
TUN,TUNISIA,21.6,1.36667,28.01
TUV,TUVALU,44.28,1.21905,40.27
UGA,UGANDA,2.85,9.82857,13.56
UKR,UKRAINE,22.86,7.2,29.96
URY,URUGUAY,24.89,5.78095,26.26
UZB,UZBEKISTAN,11.36,2.86667,20.11
VUT,VANUATU,18.3,1.36667,20.54
WSM,SAMOA,40.09,2.49048,30.09
YEM,YEMEN,10.28,0.01905,22.73
ZAF,SOUTH AFRICA,22.35,7.2619,21.39
ZMB,ZAMBIA,4.65,2.88095,16.26
ZWE,ZIMBABWE,10.16,2.44762,14.89
